path,task,model,run,split,metric,value
raw/hemolysis/enet_gpu_smiles/train_predictions.csv,hemolysis,enet_gpu,enet_gpu_smiles,train,accuracy,0.7604938271604939
raw/hemolysis/enet_gpu_smiles/train_predictions.csv,hemolysis,enet_gpu,enet_gpu_smiles,train,auprc,0.6254703668678987
raw/hemolysis/enet_gpu_smiles/train_predictions.csv,hemolysis,enet_gpu,enet_gpu_smiles,train,f1,0.8346590909090909
raw/hemolysis/enet_gpu_smiles/train_predictions.csv,hemolysis,enet_gpu,enet_gpu_smiles,train,mcc,0.42064223196272577
raw/hemolysis/enet_gpu_smiles/train_predictions.csv,hemolysis,enet_gpu,enet_gpu_smiles,train,roc_auc,0.203876193630292
raw/hemolysis/enet_gpu_smiles/val_predictions.csv,hemolysis,enet_gpu,enet_gpu_smiles,val,accuracy,0.734375
raw/hemolysis/enet_gpu_smiles/val_predictions.csv,hemolysis,enet_gpu,enet_gpu_smiles,val,auprc,0.716359199005731
raw/hemolysis/enet_gpu_smiles/val_predictions.csv,hemolysis,enet_gpu,enet_gpu_smiles,val,f1,0.823207443897099
raw/hemolysis/enet_gpu_smiles/val_predictions.csv,hemolysis,enet_gpu,enet_gpu_smiles,val,mcc,0.3348407554579305
raw/hemolysis/enet_gpu_smiles/val_predictions.csv,hemolysis,enet_gpu,enet_gpu_smiles,val,roc_auc,0.25818787768150947
raw/hemolysis/enet_gpu_wt/train_predictions.csv,hemolysis,enet_gpu,enet_gpu_wt,train,accuracy,0.8364197530864198
raw/hemolysis/enet_gpu_wt/train_predictions.csv,hemolysis,enet_gpu,enet_gpu_wt,train,auprc,0.6081786679257443
raw/hemolysis/enet_gpu_wt/train_predictions.csv,hemolysis,enet_gpu,enet_gpu_wt,train,f1,0.8944082879532476
raw/hemolysis/enet_gpu_wt/train_predictions.csv,hemolysis,enet_gpu,enet_gpu_wt,train,mcc,0.5320704101256248
raw/hemolysis/enet_gpu_wt/train_predictions.csv,hemolysis,enet_gpu,enet_gpu_wt,train,roc_auc,0.14107637088348454
raw/hemolysis/enet_gpu_wt/val_predictions.csv,hemolysis,enet_gpu,enet_gpu_wt,val,accuracy,0.8174342105263158
raw/hemolysis/enet_gpu_wt/val_predictions.csv,hemolysis,enet_gpu,enet_gpu_wt,val,auprc,0.6590467579866015
raw/hemolysis/enet_gpu_wt/val_predictions.csv,hemolysis,enet_gpu,enet_gpu_wt,val,f1,0.8861538461538462
raw/hemolysis/enet_gpu_wt/val_predictions.csv,hemolysis,enet_gpu,enet_gpu_wt,val,mcc,0.42597216348922357
raw/hemolysis/enet_gpu_wt/val_predictions.csv,hemolysis,enet_gpu,enet_gpu_wt,val,roc_auc,0.2254398826979472
raw/hemolysis/svm_gpu_wt/train_predictions.csv,hemolysis,svm_gpu,svm_gpu_wt,train,accuracy,0.8816872427983539
raw/hemolysis/svm_gpu_wt/train_predictions.csv,hemolysis,svm_gpu,svm_gpu_wt,train,auprc,0.591563242676872
raw/hemolysis/svm_gpu_wt/train_predictions.csv,hemolysis,svm_gpu,svm_gpu_wt,train,f1,0.9236286359410281
raw/hemolysis/svm_gpu_wt/train_predictions.csv,hemolysis,svm_gpu,svm_gpu_wt,train,mcc,0.6617634459475225
raw/hemolysis/svm_gpu_wt/train_predictions.csv,hemolysis,svm_gpu,svm_gpu_wt,train,roc_auc,0.08608011325473322
raw/hemolysis/svm_gpu_wt/val_predictions.csv,hemolysis,svm_gpu,svm_gpu_wt,val,accuracy,0.8141447368421053
raw/hemolysis/svm_gpu_wt/val_predictions.csv,hemolysis,svm_gpu,svm_gpu_wt,val,auprc,0.6440079845104205
raw/hemolysis/svm_gpu_wt/val_predictions.csv,hemolysis,svm_gpu,svm_gpu_wt,val,f1,0.8792735042735043
raw/hemolysis/svm_gpu_wt/val_predictions.csv,hemolysis,svm_gpu,svm_gpu_wt,val,mcc,0.48305482688727747
raw/hemolysis/svm_gpu_wt/val_predictions.csv,hemolysis,svm_gpu,svm_gpu_wt,val,roc_auc,0.18474656758197813
raw/hemolysis/xgb_smiles/train_predictions.csv,hemolysis,xgb,xgb_smiles,train,accuracy,0.8703703703703703
raw/hemolysis/xgb_smiles/train_predictions.csv,hemolysis,xgb,xgb_smiles,train,auprc,0.58174475848776
raw/hemolysis/xgb_smiles/train_predictions.csv,hemolysis,xgb,xgb_smiles,train,f1,0.9148418491484185
raw/hemolysis/xgb_smiles/train_predictions.csv,hemolysis,xgb,xgb_smiles,train,mcc,0.6454927450978815
raw/hemolysis/xgb_smiles/train_predictions.csv,hemolysis,xgb,xgb_smiles,train,roc_auc,0.08089838079771931
raw/hemolysis/xgb_smiles/val_predictions.csv,hemolysis,xgb,xgb_smiles,val,accuracy,0.7787828947368421
raw/hemolysis/xgb_smiles/val_predictions.csv,hemolysis,xgb,xgb_smiles,val,auprc,0.7127285385161656
raw/hemolysis/xgb_smiles/val_predictions.csv,hemolysis,xgb,xgb_smiles,val,f1,0.8615542974781267
raw/hemolysis/xgb_smiles/val_predictions.csv,hemolysis,xgb,xgb_smiles,val,mcc,0.3184493453685354
raw/hemolysis/xgb_smiles/val_predictions.csv,hemolysis,xgb,xgb_smiles,val,roc_auc,0.2516956173732324
raw/hemolysis/xgb_wt/train_predictions.csv,hemolysis,xgb,xgb_wt,train,accuracy,0.8979423868312757
raw/hemolysis/xgb_wt/train_predictions.csv,hemolysis,xgb,xgb_wt,train,auprc,0.5816563227840723
raw/hemolysis/xgb_wt/train_predictions.csv,hemolysis,xgb,xgb_wt,train,f1,0.9328822733423545
raw/hemolysis/xgb_wt/train_predictions.csv,hemolysis,xgb,xgb_wt,train,mcc,0.725485058840769
raw/hemolysis/xgb_wt/train_predictions.csv,hemolysis,xgb,xgb_wt,train,roc_auc,0.043265329785781764
raw/hemolysis/xgb_wt/val_predictions.csv,hemolysis,xgb,xgb_wt,val,accuracy,0.7993421052631579
raw/hemolysis/xgb_wt/val_predictions.csv,hemolysis,xgb,xgb_wt,val,auprc,0.6487078072131585
raw/hemolysis/xgb_wt/val_predictions.csv,hemolysis,xgb,xgb_wt,val,f1,0.8722513089005235
raw/hemolysis/xgb_wt/val_predictions.csv,hemolysis,xgb,xgb_wt,val,mcc,0.40603793245014924
raw/hemolysis/xgb_wt/val_predictions.csv,hemolysis,xgb,xgb_wt,val,roc_auc,0.1995926086376966
raw/nf/cnn_wt/train_predictions.csv,nonfouling,cnn,cnn_wt,train,accuracy,0.8755820721769499
raw/nf/cnn_wt/train_predictions.csv,nonfouling,cnn,cnn_wt,train,auprc,0.5954158970505833
raw/nf/cnn_wt/train_predictions.csv,nonfouling,cnn,cnn_wt,train,f1,0.917796365734064
raw/nf/cnn_wt/train_predictions.csv,nonfouling,cnn,cnn_wt,train,mcc,0.6753168895557049
raw/nf/cnn_wt/train_predictions.csv,nonfouling,cnn,cnn_wt,train,roc_auc,0.054095942258738997
raw/nf/cnn_wt/val_predictions.csv,nonfouling,cnn,cnn_wt,val,accuracy,0.870197904540163
raw/nf/cnn_wt/val_predictions.csv,nonfouling,cnn,cnn_wt,val,auprc,0.5984325243864836
raw/nf/cnn_wt/val_predictions.csv,nonfouling,cnn,cnn_wt,val,f1,0.9145593869731802
raw/nf/cnn_wt/val_predictions.csv,nonfouling,cnn,cnn_wt,val,mcc,0.6559681190556447
raw/nf/cnn_wt/val_predictions.csv,nonfouling,cnn,cnn_wt,val,roc_auc,0.062146695994876947
raw/nf/enet_gpu_smiles/train_predictions.csv,nonfouling,enet_gpu,enet_gpu_smiles,train,accuracy,0.7061630760839923
raw/nf/enet_gpu_smiles/train_predictions.csv,nonfouling,enet_gpu,enet_gpu_smiles,train,auprc,0.3580189943893358
raw/nf/enet_gpu_smiles/train_predictions.csv,nonfouling,enet_gpu,enet_gpu_smiles,train,f1,0.7283499306693559
raw/nf/enet_gpu_smiles/train_predictions.csv,nonfouling,enet_gpu,enet_gpu_smiles,train,mcc,0.4133127979224907
raw/nf/enet_gpu_smiles/train_predictions.csv,nonfouling,enet_gpu,enet_gpu_smiles,train,roc_auc,0.2164695424414872
raw/nf/enet_gpu_smiles/val_predictions.csv,nonfouling,enet_gpu,enet_gpu_smiles,val,accuracy,0.9994921795653057
raw/nf/enet_gpu_smiles/val_predictions.csv,nonfouling,enet_gpu,enet_gpu_smiles,val,auprc,0.9890360167161125
raw/nf/enet_gpu_smiles/val_predictions.csv,nonfouling,enet_gpu,enet_gpu_smiles,val,f1,0.9997456376863204
raw/nf/enet_gpu_smiles/val_predictions.csv,nonfouling,enet_gpu,enet_gpu_smiles,val,mcc,0.8572399147157399
raw/nf/enet_gpu_smiles/val_predictions.csv,nonfouling,enet_gpu,enet_gpu_smiles,val,roc_auc,2.3340295524049482e-4
raw/nf/enet_gpu_wt/train_predictions.csv,nonfouling,enet_gpu,enet_gpu_wt,train,accuracy,0.8632857974388825
raw/nf/enet_gpu_wt/train_predictions.csv,nonfouling,enet_gpu,enet_gpu_wt,train,auprc,0.5983016466001413
raw/nf/enet_gpu_wt/train_predictions.csv,nonfouling,enet_gpu,enet_gpu_wt,train,f1,0.9092489736778556
raw/nf/enet_gpu_wt/train_predictions.csv,nonfouling,enet_gpu,enet_gpu_wt,train,mcc,0.6478155241698845
raw/nf/enet_gpu_wt/train_predictions.csv,nonfouling,enet_gpu,enet_gpu_wt,train,roc_auc,0.06272597117940736
raw/nf/enet_gpu_wt/val_predictions.csv,nonfouling,enet_gpu,enet_gpu_wt,val,accuracy,0.8664144353899884
raw/nf/enet_gpu_wt/val_predictions.csv,nonfouling,enet_gpu,enet_gpu_wt,val,auprc,0.5991747180212964
raw/nf/enet_gpu_wt/val_predictions.csv,nonfouling,enet_gpu,enet_gpu_wt,val,f1,0.9114412502411731
raw/nf/enet_gpu_wt/val_predictions.csv,nonfouling,enet_gpu,enet_gpu_wt,val,mcc,0.6549115234432131
raw/nf/enet_gpu_wt/val_predictions.csv,nonfouling,enet_gpu,enet_gpu_wt,val,roc_auc,0.06372435850512126
raw/nf/mlp_wt/train_predictions.csv,nonfouling,mlp,mlp_wt,train,accuracy,0.8680151338766007
raw/nf/mlp_wt/train_predictions.csv,nonfouling,mlp,mlp_wt,train,auprc,0.596102426737292
raw/nf/mlp_wt/train_predictions.csv,nonfouling,mlp,mlp_wt,train,f1,0.912248452012384
raw/nf/mlp_wt/train_predictions.csv,nonfouling,mlp,mlp_wt,train,mcc,0.6628188295003064
raw/nf/mlp_wt/train_predictions.csv,nonfouling,mlp,mlp_wt,train,roc_auc,0.05633468911647488
raw/nf/mlp_wt/val_predictions.csv,nonfouling,mlp,mlp_wt,val,accuracy,0.869906868451688
raw/nf/mlp_wt/val_predictions.csv,nonfouling,mlp,mlp_wt,val,auprc,0.5992688303889078
raw/nf/mlp_wt/val_predictions.csv,nonfouling,mlp,mlp_wt,val,f1,0.9137232194557036
raw/nf/mlp_wt/val_predictions.csv,nonfouling,mlp,mlp_wt,val,mcc,0.6649576375338568
raw/nf/mlp_wt/val_predictions.csv,nonfouling,mlp,mlp_wt,val,roc_auc,0.06333122261678005
raw/nf/svm_gpu_smiles/train_predictions.csv,nonfouling,svm_gpu,svm_gpu_smiles,train,accuracy,0.7039814562312517
raw/nf/svm_gpu_smiles/train_predictions.csv,nonfouling,svm_gpu,svm_gpu_smiles,train,auprc,0.35683167066042526
raw/nf/svm_gpu_smiles/train_predictions.csv,nonfouling,svm_gpu,svm_gpu_smiles,train,f1,0.7354697209699036
raw/nf/svm_gpu_smiles/train_predictions.csv,nonfouling,svm_gpu,svm_gpu_smiles,train,mcc,0.4128086473569659
raw/nf/svm_gpu_smiles/train_predictions.csv,nonfouling,svm_gpu,svm_gpu_smiles,train,roc_auc,0.211169290570798
raw/nf/svm_gpu_smiles/val_predictions.csv,nonfouling,svm_gpu,svm_gpu_smiles,val,accuracy,0.9994921795653057
raw/nf/svm_gpu_smiles/val_predictions.csv,nonfouling,svm_gpu,svm_gpu_smiles,val,auprc,0.9890394517375338
raw/nf/svm_gpu_smiles/val_predictions.csv,nonfouling,svm_gpu,svm_gpu_smiles,val,f1,0.9997456376863204
raw/nf/svm_gpu_smiles/val_predictions.csv,nonfouling,svm_gpu,svm_gpu_smiles,val,mcc,0.8572399147157399
raw/nf/svm_gpu_smiles/val_predictions.csv,nonfouling,svm_gpu,svm_gpu_smiles,val,roc_auc,2.513570287205329e-4
raw/nf/svm_gpu_wt/train_predictions.csv,nonfouling,svm_gpu,svm_gpu_wt,train,accuracy,0.8678696158323632
raw/nf/svm_gpu_wt/train_predictions.csv,nonfouling,svm_gpu,svm_gpu_wt,train,auprc,0.596734673661462
raw/nf/svm_gpu_wt/train_predictions.csv,nonfouling,svm_gpu,svm_gpu_wt,train,f1,0.9122196442382057
raw/nf/svm_gpu_wt/train_predictions.csv,nonfouling,svm_gpu,svm_gpu_wt,train,mcc,0.6613940360990839
raw/nf/svm_gpu_wt/train_predictions.csv,nonfouling,svm_gpu,svm_gpu_wt,train,roc_auc,0.058360695191377716
raw/nf/svm_gpu_wt/val_predictions.csv,nonfouling,svm_gpu,svm_gpu_wt,val,accuracy,0.8687427240977881
raw/nf/svm_gpu_wt/val_predictions.csv,nonfouling,svm_gpu,svm_gpu_wt,val,auprc,0.5984189981088662
raw/nf/svm_gpu_wt/val_predictions.csv,nonfouling,svm_gpu,svm_gpu_wt,val,f1,0.9130183220829315
raw/nf/svm_gpu_wt/val_predictions.csv,nonfouling,svm_gpu,svm_gpu_wt,val,mcc,0.6607591862682802
raw/nf/svm_gpu_wt/val_predictions.csv,nonfouling,svm_gpu,svm_gpu_wt,val,roc_auc,0.061910712082734624
raw/nf/transformer_wt/train_predictions.csv,nonfouling,transformer,transformer_wt,train,accuracy,0.8673603026775321
raw/nf/transformer_wt/train_predictions.csv,nonfouling,transformer,transformer_wt,train,auprc,0.5968725735917116
raw/nf/transformer_wt/train_predictions.csv,nonfouling,transformer,transformer_wt,train,f1,0.911560665599379
raw/nf/transformer_wt/train_predictions.csv,nonfouling,transformer,transformer_wt,train,mcc,0.6648659188878214
raw/nf/transformer_wt/train_predictions.csv,nonfouling,transformer,transformer_wt,train,roc_auc,0.05861992708851266
raw/nf/transformer_wt/val_predictions.csv,nonfouling,transformer,transformer_wt,val,accuracy,0.8669965075669382
raw/nf/transformer_wt/val_predictions.csv,nonfouling,transformer,transformer_wt,val,auprc,0.5988923513638017
raw/nf/transformer_wt/val_predictions.csv,nonfouling,transformer,transformer_wt,val,f1,0.9115883149545366
raw/nf/transformer_wt/val_predictions.csv,nonfouling,transformer,transformer_wt,val,mcc,0.6601143089267936
raw/nf/transformer_wt/val_predictions.csv,nonfouling,transformer,transformer_wt,val,roc_auc,0.06272360243519016
raw/nf/xgb_wt/train_predictions.csv,nonfouling,xgb,xgb_wt,train,accuracy,0.9355355064027939
raw/nf/xgb_wt/train_predictions.csv,nonfouling,xgb,xgb_wt,train,auprc,0.5865636957493804
raw/nf/xgb_wt/train_predictions.csv,nonfouling,xgb,xgb_wt,train,f1,0.9578897338403041
raw/nf/xgb_wt/train_predictions.csv,nonfouling,xgb,xgb_wt,train,mcc,0.8290953866056772
raw/nf/xgb_wt/train_predictions.csv,nonfouling,xgb,xgb_wt,train,roc_auc,0.010691805993826173
raw/nf/xgb_wt/val_predictions.csv,nonfouling,xgb,xgb_wt,val,accuracy,0.8672875436554133
raw/nf/xgb_wt/val_predictions.csv,nonfouling,xgb,xgb_wt,val,auprc,0.5986391877750837
raw/nf/xgb_wt/val_predictions.csv,nonfouling,xgb,xgb_wt,val,f1,0.9125766871165644
raw/nf/xgb_wt/val_predictions.csv,nonfouling,xgb,xgb_wt,val,mcc,0.64892581183929
raw/nf/xgb_wt/val_predictions.csv,nonfouling,xgb,xgb_wt,val,roc_auc,0.06221477812137354
raw/solubility/enet_gpu/train_predictions.csv,solubility,enet_gpu,enet_gpu,train,accuracy,0.7156889310391545
raw/solubility/enet_gpu/train_predictions.csv,solubility,enet_gpu,enet_gpu,train,auprc,0.36078805946116216
raw/solubility/enet_gpu/train_predictions.csv,solubility,enet_gpu,enet_gpu,train,f1,0.6922794926314246
raw/solubility/enet_gpu/train_predictions.csv,solubility,enet_gpu,enet_gpu,train,mcc,0.45418639026302876
raw/solubility/enet_gpu/train_predictions.csv,solubility,enet_gpu,enet_gpu,train,roc_auc,0.17858810437495
raw/solubility/enet_gpu/val_predictions.csv,solubility,enet_gpu,enet_gpu,val,accuracy,0.6843673801137903
raw/solubility/enet_gpu/val_predictions.csv,solubility,enet_gpu,enet_gpu,val,auprc,0.3533266246610667
raw/solubility/enet_gpu/val_predictions.csv,solubility,enet_gpu,enet_gpu,val,f1,0.6389835760768516
raw/solubility/enet_gpu/val_predictions.csv,solubility,enet_gpu,enet_gpu,val,mcc,0.3847569170937639
raw/solubility/enet_gpu/val_predictions.csv,solubility,enet_gpu,enet_gpu,val,roc_auc,0.22408859947708548
raw/solubility/svm_gpu/train_predictions.csv,solubility,svm_gpu,svm_gpu,train,accuracy,0.7720498577428533
raw/solubility/svm_gpu/train_predictions.csv,solubility,svm_gpu,svm_gpu,train,auprc,0.3490166805137345
raw/solubility/svm_gpu/train_predictions.csv,solubility,svm_gpu,svm_gpu,train,f1,0.7657500870170553
raw/solubility/svm_gpu/train_predictions.csv,solubility,svm_gpu,svm_gpu,train,mcc,0.5548071886671548
raw/solubility/svm_gpu/train_predictions.csv,solubility,svm_gpu,svm_gpu,train,roc_auc,0.13033811715574253
raw/solubility/svm_gpu/val_predictions.csv,solubility,svm_gpu,svm_gpu,val,accuracy,0.7044161473855324
raw/solubility/svm_gpu/val_predictions.csv,solubility,svm_gpu,svm_gpu,val,auprc,0.35038971065744096
raw/solubility/svm_gpu/val_predictions.csv,solubility,svm_gpu,svm_gpu,val,f1,0.671484492622704
raw/solubility/svm_gpu/val_predictions.csv,solubility,svm_gpu,svm_gpu,val,mcc,0.420383460521777
raw/solubility/svm_gpu/val_predictions.csv,solubility,svm_gpu,svm_gpu,val,roc_auc,0.21426192942768346
raw/solubility/xgb/train_predictions.csv,solubility,xgb,xgb,train,accuracy,0.9529196585828479
raw/solubility/xgb/train_predictions.csv,solubility,xgb,xgb,train,auprc,0.3294729061881112
raw/solubility/xgb/train_predictions.csv,solubility,xgb,xgb,train,f1,0.9535893155258764
raw/solubility/xgb/train_predictions.csv,solubility,xgb,xgb,train,mcc,0.9093318763866486
raw/solubility/xgb/train_predictions.csv,solubility,xgb,xgb,train,roc_auc,0.003259341507049171
raw/solubility/xgb/val_predictions.csv,solubility,xgb,xgb,val,accuracy,0.6965591980493091
raw/solubility/xgb/val_predictions.csv,solubility,xgb,xgb,val,auprc,0.3521000484151285
raw/solubility/xgb/val_predictions.csv,solubility,xgb,xgb,val,f1,0.6652719665271967
raw/solubility/xgb/val_predictions.csv,solubility,xgb,xgb,val,mcc,0.40300746167440665
raw/solubility/xgb/val_predictions.csv,solubility,xgb,xgb,val,roc_auc,0.22058782074321515
