number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,state
0,0.3360862214496441,2025-12-25 19:33:39.104863,2025-12-25 19:34:02.594547,0 days 00:00:23.489684,0.0009989294861923743,0.35303475312140514,108,4.879160221361669,8.550624699669314e-05,0.023424196012866914,10,1.9718914965335343,720,0.5681003865114566,COMPLETE
1,0.12146492655561084,2025-12-25 19:34:02.595232,2025-12-25 19:34:23.662991,0 days 00:00:21.067759,4.581939950601763,0.8398784656187812,200,8.862568481043107,5.383886102616514e-09,0.00898982583764856,11,201.58597089353805,1093,0.9323572731249345,COMPLETE
2,0.2536052961828661,2025-12-25 19:34:23.663540,2025-12-25 19:34:43.812141,0 days 00:00:20.148601,0.49861831601505013,0.6762102042671896,131,9.550521918299262,1.6374518794334445e-10,0.06203833868598374,3,4.027122768502336,55,0.7493520255211688,COMPLETE
3,0.21641685436106992,2025-12-25 19:34:43.812815,2025-12-25 19:35:05.286641,0 days 00:00:21.473826,7.879318170741328e-08,0.5992457930588994,76,1.3423754163751311,4.165415794747428,0.2752457575052525,14,29.142739357814488,213,0.9578268630440656,COMPLETE
4,0.12146492655561084,2025-12-25 19:35:05.287045,2025-12-25 19:35:26.085470,0 days 00:00:20.798425,2.196103657992345e-05,0.766414132286902,118,9.269775208760741,3.3343690758107596e-05,0.07357887342297534,16,41.16529949613773,1496,0.5036637996497562,COMPLETE
5,0.333007672638419,2025-12-25 19:35:26.086001,2025-12-25 19:35:51.804686,0 days 00:00:25.718685,9.264957847703099e-08,0.3041922794431328,43,5.7060462964570835,4.087582873884904e-08,0.0012387121771276842,13,0.06610436936643055,1020,0.7084842506761785,COMPLETE
6,0.3223529370931327,2025-12-25 19:35:51.805397,2025-12-25 19:36:13.801192,0 days 00:00:21.995795,0.11517217549202002,0.7729134682440617,45,9.209920368603328,0.013993498682803099,0.0016343255242922579,5,0.21350239552857558,501,0.8541083259727371,COMPLETE
7,0.4371616544242505,2025-12-25 19:36:13.801753,2025-12-25 19:36:35.052109,0 days 00:00:21.250356,1.3858174771308205e-08,0.9503029175657738,182,3.923243813989561,11.392134355552145,0.2397901459914338,13,0.0062317073340850465,206,0.8765127687365915,COMPLETE
8,0.33977771200033297,2025-12-25 19:36:35.052826,2025-12-25 19:36:39.573936,0 days 00:00:04.521110,5.996278913206701e-06,0.866293905449689,123,9.822070836159355,0.28495430536574545,0.03939328548903668,14,240.52778387728526,1626,0.5531802996581936,PRUNED
9,0.30023263204128314,2025-12-25 19:36:39.574562,2025-12-25 19:37:03.521785,0 days 00:00:23.947223,0.0008643066564154611,0.5902574500796648,139,4.062464680288459,4.282050150206834e-05,0.0028752151236339876,4,1.701169064703623,795,0.7619418633410723,COMPLETE
10,0.5172835696577067,2025-12-25 19:37:03.522419,2025-12-25 19:37:27.379278,0 days 00:00:23.856859,4.246487767881576e-10,0.9849130883718793,199,0.04575791768193227,82.65632532863968,0.25439779675026686,7,0.001390914009051744,1986,0.8462576441334005,COMPLETE
11,0.45750627153739243,2025-12-25 19:37:27.380017,2025-12-25 19:37:50.819067,0 days 00:00:23.439050,1.100450229464838e-10,0.9873413701676488,195,0.014976891688488259,55.98534090926153,0.25958602454422697,7,0.0013381995118926882,1910,0.8524985475737011,COMPLETE
12,0.4011905245028059,2025-12-25 19:37:50.819779,2025-12-25 19:38:13.135620,0 days 00:00:22.315841,1.267912340467518e-10,0.9664851862323653,167,0.0696566727706608,0.012235097378875367,0.1538792418553786,7,0.0020275839383706888,1899,0.8306833688286926,COMPLETE
13,0.5513989979887153,2025-12-25 19:38:13.136428,2025-12-25 19:38:36.296902,0 days 00:00:23.160474,1.6085954451127692e-10,0.9778072953614835,162,1.4953983622675073,81.31433563106523,0.11282036594080488,7,0.016180974559535155,1983,0.9991726040934075,COMPLETE
14,0.37548966779420956,2025-12-25 19:38:36.297647,2025-12-25 19:38:51.890395,0 days 00:00:15.592748,2.2727671634353158e-09,0.46733983030976234,156,2.04456047021928,0.16699274572910108,0.10499169479017574,7,0.02061752322120701,1535,0.9923447755266895,COMPLETE
15,0.4760405156050863,2025-12-25 19:38:51.890910,2025-12-25 19:39:18.560047,0 days 00:00:26.669137,1.1685204279775332e-06,0.8659466874984685,166,2.3516844764996105,76.10202114608995,0.008552176116772637,2,0.016223492075876006,1994,0.6759664276394196,COMPLETE
16,0.5936700204638246,2025-12-25 19:39:18.560791,2025-12-25 19:39:23.428831,0 days 00:00:04.868040,1.9331273910863765e-09,0.7291653580095794,97,6.682163605951281,0.005475198633186169,0.04065261904211255,8,0.2814394455115593,1294,0.9110138793416335,PRUNED
17,0.5196071663954379,2025-12-25 19:39:23.429430,2025-12-25 19:39:44.408120,0 days 00:00:20.978690,4.6325071951433893e-07,0.9073538922001809,152,1.2632644056223272,0.7881127042291776,0.11958793307638654,5,0.005640943427113302,1714,0.7874807665735468,COMPLETE
18,0.30731669103803005,2025-12-25 19:39:44.408767,2025-12-25 19:40:06.836062,0 days 00:00:22.427295,5.5668837263974e-07,0.8962244310810307,147,2.7002257916146064,0.5213175616096618,0.015214582475905972,5,0.05216230169667809,1747,0.7903366814787338,COMPLETE
19,0.46911907668928154,2025-12-25 19:40:06.836599,2025-12-25 19:40:11.180190,0 days 00:00:04.343591,0.0002656486458982536,0.8098762799428311,84,1.3230913948917087,1.0169113207055445e-06,0.1102952066165322,9,0.004875748030117151,1340,0.645341066213797,PRUNED
20,0.3838300419437554,2025-12-25 19:40:11.180360,2025-12-25 19:40:30.495082,0 days 00:00:19.314722,0.00665210862212761,0.9128669855504842,173,6.6017049085008015,0.000753258952042455,0.03618237016722709,5,0.08473949354045171,1730,0.6206853109579045,COMPLETE
21,0.3050002918477016,2025-12-25 19:40:30.495545,2025-12-25 19:40:51.014302,0 days 00:00:20.518757,2.0332428451841425e-09,0.9890596118062253,185,0.8642197885272582,2.27061943387681,0.13987373324021357,6,0.003719980132314677,1814,0.8067044850742836,COMPLETE
22,0.4920256252757886,2025-12-25 19:40:51.014801,2025-12-25 19:41:11.406125,0 days 00:00:20.391324,1.169456519460416e-08,0.9252129158134295,155,3.3844666221034037,92.7695959066206,0.16668133135889213,9,0.014594299350565047,1988,0.8956981610542977,COMPLETE
23,0.5361849694909585,2025-12-25 19:41:11.406778,2025-12-25 19:41:15.814469,0 days 00:00:04.407691,1.1236097937062068e-09,0.9995884827535951,188,0.9481222762950403,7.959421036290449,0.071899063921599,3,0.0010884222565298353,1670,0.994381779141433,PRUNED
24,0.2710009545863683,2025-12-25 19:41:15.814997,2025-12-25 19:41:20.202593,0 days 00:00:04.387596,1.0793489900268989e-10,0.9135329195279921,173,1.915573357771265,0.08535129736926472,0.2962302633427854,6,0.0074781231695512825,1434,0.7210582348615773,PRUNED
25,0.6186486438032247,2025-12-25 19:41:20.203158,2025-12-25 19:41:24.451191,0 days 00:00:04.248033,4.5100605282234976e-08,0.8126580844416397,144,3.051273318257448,1.104737560309701,0.0851247742569944,4,0.021391068018351604,1823,0.7654263433778937,PRUNED
26,0.5543201343812079,2025-12-25 19:41:24.451736,2025-12-25 19:41:28.811474,0 days 00:00:04.359738,7.710802508768991e-07,0.49788293751151613,24,0.5663676800478973,10.475727616867193,0.16079407126097833,8,0.0026617838262394428,1603,0.9419717068022094,PRUNED
27,0.6278873127095781,2025-12-25 19:41:28.812021,2025-12-25 19:41:34.472707,0 days 00:00:05.660686,1.1638995075060354e-05,0.7126747216726002,154,1.8145301158692781,95.05807741979265,0.02268475211659654,11,0.3136822372441753,1220,0.8173476857247804,PRUNED
28,0.5478188488545147,2025-12-25 19:41:34.473242,2025-12-25 19:41:39.140441,0 days 00:00:04.667199,92.72371494735933,0.9331389199677942,176,0.039436986456149015,0.0506284955316593,0.05779134599009705,6,0.0010024576055137017,1833,0.8774982561746997,PRUNED
29,0.3457878870433824,2025-12-25 19:41:39.140971,2025-12-25 19:42:00.700702,0 days 00:00:21.559731,6.752687523686941e-10,0.8775860602938432,102,4.630542228178438,9.421916967628704,0.014146178743037034,9,0.009962120701984765,812,0.712398169776958,COMPLETE
30,0.6224125459502575,2025-12-25 19:42:00.701167,2025-12-25 19:42:05.213385,0 days 00:00:04.512218,6.302993042879987e-09,0.4668568581296099,199,1.6212988219394573,6.230427505882322e-06,0.028643685776371816,11,0.058014141426514024,1956,0.9729877574133203,PRUNED
31,0.6083834561294985,2025-12-25 19:42:05.213764,2025-12-25 19:42:09.729678,0 days 00:00:04.515914,2.384571666929454e-08,0.9423496519554118,160,3.5064718887618835,91.20744440817248,0.17246963950940747,10,0.028927057855812486,1986,0.9107927775739341,PRUNED
32,0.4633021370075034,2025-12-25 19:42:09.729969,2025-12-25 19:42:13.146025,0 days 00:00:03.416056,1.873216240517322e-07,0.8280125627330152,135,2.9732050106616743,1.3440839624189425,0.19544469823207794,9,0.002890764222968631,1734,0.9136947893505866,PRUNED
33,0.6039352081375506,2025-12-25 19:42:13.146322,2025-12-25 19:42:17.518687,0 days 00:00:04.372365,8.608447257255762e-09,0.9509134290894021,125,2.5991830747868483,18.628954446050948,0.1064837218960081,8,0.010222273917749446,1855,0.8910647094687343,PRUNED
34,0.5745083368062024,2025-12-25 19:42:17.519051,2025-12-25 19:42:22.300482,0 days 00:00:04.781431,8.170773267267146e-10,0.8554877906821314,150,0.699482131017561,2.168080897772182,0.05196350118132768,10,0.15666300924016419,1615,0.8511485049485003,PRUNED
35,0.523687542754348,2025-12-25 19:42:22.301149,2025-12-25 19:42:43.815856,0 days 00:00:21.514707,4.354331300030592e-10,0.9085437830756494,190,8.104852337591621,0.00035309650559277664,0.20873087817198974,7,0.98669539135291,1980,0.9445400717326476,COMPLETE
36,0.5372114882583312,2025-12-25 19:42:43.816512,2025-12-25 19:42:48.165693,0 days 00:00:04.349181,3.173863158141571e-10,0.6311775506840823,191,8.339673752676198,0.0019228579489604665,0.11848628676377254,4,5.358826996673721,1065,0.9505249326979376,PRUNED
37,0.4334040349210807,2025-12-25 19:42:48.166243,2025-12-25 19:43:11.174698,0 days 00:00:23.008455,2.6313293859142093e-06,0.7645942707878886,200,8.382592250336396,0.0006976600377086639,0.0051108117544203064,7,0.8257515490159746,1405,0.9659546249401613,COMPLETE
38,0.5307102027316378,2025-12-25 19:43:11.175231,2025-12-25 19:43:15.271335,0 days 00:00:04.096104,1.3910064086297317e-07,0.8880609946956166,183,6.977414059979158,9.872243003248691e-10,0.08581096740166502,6,5.884713618825155,1761,0.9449229167045564,PRUNED
39,0.2990591342278862,2025-12-25 19:43:15.271639,2025-12-25 19:43:19.410346,0 days 00:00:04.138707,3.578406230224327e-05,0.7961401148765762,165,5.859404202970349,3.7745741844979666e-08,0.21744274663945523,3,21.14603884839925,490,0.7806006084408516,PRUNED
40,0.5680070512795093,2025-12-25 19:43:19.410720,2025-12-25 19:43:23.728892,0 days 00:00:04.318172,0.04210218363820105,0.9648386504218545,178,7.668840265787983,4.380621391440707e-07,0.29456917009846867,5,0.6772532797599979,1514,0.9970357704125494,PRUNED
41,0.5146280753761338,2025-12-25 19:43:23.729190,2025-12-25 19:43:27.790996,0 days 00:00:04.061806,4.820259885896751e-09,0.92220774893541,130,5.081969828252223,22.475662433724306,0.21018092395080945,8,2.3967234346841657,1905,0.9221423409927696,PRUNED
42,0.29494699120547396,2025-12-25 19:43:27.791349,2025-12-25 19:43:48.696554,0 days 00:00:20.905205,4.132506217240605e-10,0.843390884830159,188,1.2399268022233272,0.5037466155150573,0.1294417101902863,7,12.158209253434292,1980,0.8381394375402078,COMPLETE
43,0.5820361411002684,2025-12-25 19:43:48.697026,2025-12-25 19:43:53.393211,0 days 00:00:04.696185,2.1109563889934373e-08,0.9624081648513764,109,3.729579292534801,30.467914511831903,0.17095406471826904,9,0.5747129240916035,1877,0.8770777519232201,PRUNED
44,0.33977771200033297,2025-12-25 19:43:53.393573,2025-12-25 19:43:57.607374,0 days 00:00:04.213801,3.298093420248551e-10,0.9916100716223022,161,4.667885298998512,3.8990436269873956,0.2095410620651267,8,78.15057653765535,1681,0.7378753572014226,PRUNED
45,0.6289138314769507,2025-12-25 19:43:57.607686,2025-12-25 19:44:02.332996,0 days 00:00:04.725310,6.4697593005346494e-09,0.9009480616443267,170,0.361752735792935,0.02294018436056737,0.0907150265379192,11,0.12381170853205563,1991,0.8953894920613639,PRUNED
46,0.5734818180388299,2025-12-25 19:44:02.333519,2025-12-25 19:44:07.126359,0 days 00:00:04.792840,5.961273632044628e-08,0.9347849578069927,139,2.3106503927453828,24.653606193472648,0.06522532560486852,6,0.0018373125973094723,1781,0.9731315058498745,PRUNED
47,0.6319933877790684,2025-12-25 19:44:07.126825,2025-12-25 19:44:11.167425,0 days 00:00:04.040600,3.80983129467036e-07,0.5431340056908993,151,3.4030759452174655,0.1464685618173295,0.1509038820737105,5,0.035624620319963496,956,0.8583529134039176,PRUNED
48,0.5248932630498597,2025-12-25 19:44:11.167710,2025-12-25 19:44:15.289098,0 days 00:00:04.121388,2.0034746735560815e-10,0.8702678325380622,60,4.289225072007856,7.959919019924751e-05,0.05102970609279523,10,0.011924007076588467,1925,0.8029236744210686,PRUNED
49,0.46061514126178177,2025-12-25 19:44:15.289403,2025-12-25 19:44:35.241076,0 days 00:00:19.951673,2.2049558145178144e-09,0.9642278585716786,179,5.419260717049104,1.0618703891786385e-10,0.24108002959786856,7,0.004055163817331692,462,0.8245459192356761,COMPLETE
50,0.6121473582765314,2025-12-25 19:44:35.241698,2025-12-25 19:44:39.320658,0 days 00:00:04.078960,3.2318975121044656e-08,0.3815668886154524,115,1.4365220412522124,4.771936265666088,0.11913425699090574,13,0.005784920819775572,1555,0.9236799613063345,PRUNED
51,0.4620839598387211,2025-12-25 19:44:39.320971,2025-12-25 19:44:59.276337,0 days 00:00:19.955366,1.7460210462848186e-06,0.8432323343713909,166,2.453030778246217,79.38745238815879,0.008453760488952923,2,0.01447549453655334,1900,0.6830807692305176,COMPLETE
52,0.6128317041214465,2025-12-25 19:44:59.276736,2025-12-25 19:45:04.875663,0 days 00:00:05.598927,5.1537059548914334e-05,0.8940680243510163,160,2.1579958517164806,31.899139260870353,0.009633545771858657,2,1.2759821975092227,1999,0.6744107844732201,PRUNED
53,0.26943083292747727,2025-12-25 19:45:04.876103,2025-12-25 19:45:27.817014,0 days 00:00:22.940911,3.6438779015730925e-06,0.9974140163415429,194,0.9712870929209281,0.6291030166808842,0.004968007183431423,4,0.038185734615321175,1683,0.6163520444411711,COMPLETE
54,0.4670658099485047,2025-12-25 19:45:27.817646,2025-12-25 19:45:50.391721,0 days 00:00:22.574075,3.7123813881784223e-09,0.9215380810185232,145,3.045645793933947,5.500768267104973,0.006126034293147252,16,0.018021699717501314,1823,0.7549795182561524,COMPLETE
55,0.21190655662636018,2025-12-25 19:45:50.392143,2025-12-25 19:46:13.663181,0 days 00:00:23.271038,0.00013319592314676765,0.8683135666558146,170,0.37438912741546293,0.00027662864050100646,0.002668824529842772,3,0.09866634845364082,1910,0.8984121341187978,COMPLETE
56,0.5057315793922378,2025-12-25 19:46:13.663805,2025-12-25 19:46:17.098116,0 days 00:00:03.434311,1.0549447295274889e-09,0.7862433249389558,184,9.940242329337611,41.2431242648937,0.2601228125511214,6,0.007409876389691831,1783,0.5264878389084833,PRUNED
57,0.6159112604235643,2025-12-25 19:46:17.098386,2025-12-25 19:46:23.246311,0 days 00:00:06.147925,1.4374355133569452e-08,0.7213769500767864,158,1.1395574796189825,97.47553587256009,0.011368358536120818,7,0.0021594312825444456,1860,0.5782229179530731,PRUNED
58,0.536527142413416,2025-12-25 19:46:23.246786,2025-12-25 19:46:27.689390,0 days 00:00:04.442604,8.38730177743012e-07,0.9752007847533514,193,1.6527811330284452,0.006343888554787513,0.09154070837411112,9,0.356227732698601,1700,0.7337836242887816,PRUNED
59,0.5991447872231451,2025-12-25 19:46:27.689694,2025-12-25 19:46:30.856573,0 days 00:00:03.166879,2.008507154500308e-07,0.7525726568320936,177,2.161136023961368,10.991903799868469,0.1779815854905272,12,0.0018678487872474635,104,0.6935055659616512,PRUNED
60,0.40128860360343904,2025-12-25 19:46:30.856768,2025-12-25 19:46:46.798110,0 days 00:00:15.941342,1.5478246441744402e-05,0.6827529182564143,142,9.253055889752057,0.2715468402807116,0.022538455235567058,8,0.02388291422688329,1204,0.7781600773022818,COMPLETE
61,0.4817009248395695,2025-12-25 19:46:46.798484,2025-12-25 19:47:12.876641,0 days 00:00:26.078157,3.0661589461171987e-09,0.9183976530900784,147,2.951377867632506,5.299705544657454,0.005105815426941443,16,0.01566687151419302,1842,0.7531527085125744,COMPLETE
62,0.41046078377493017,2025-12-25 19:47:12.877210,2025-12-25 19:47:41.453624,0 days 00:00:28.576414,1.1139852373129869e-10,0.9391294034931583,153,2.675391918481651,1.1437727390517286e-05,0.002540258765577139,15,0.0032961006328603095,1939,0.6484622116786367,COMPLETE
63,0.6203595084155122,2025-12-25 19:47:41.454241,2025-12-25 19:47:49.004775,0 days 00:00:07.550534,1.3234590409288012e-09,0.9089607548689675,164,1.8840627001339145,1.6037728955817683,0.0039293775571732715,14,0.05368207832746203,1833,0.8069611244573526,PRUNED
64,0.45395234406602886,2025-12-25 19:47:49.005328,2025-12-25 19:48:10.635301,0 days 00:00:21.629973,4.3605143499689543e-10,0.8224758259795627,123,3.4297132641729853,12.477997026614373,0.007263703781824205,4,0.0055775368622877465,1992,0.97841175812245,COMPLETE
