number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_model,params_dropout,params_ff,params_huber_delta,params_layers,params_loss,params_lr,params_nhead,params_weight_decay,user_attrs_val_mae,user_attrs_val_r2,user_attrs_val_rmse,user_attrs_val_spearman_rho,state
0,0.5267093108424838,2025-12-21 23:19:42.682704,2025-12-21 23:20:23.362873,0 days 00:00:40.680169,64,256,0.31701651874033554,1024,,3,mse,0.000431443772186329,4,1.9771723526668433e-10,1.4095916748046875,-0.24975430965423584,1.6674437522888184,-0.25194972123699694,COMPLETE
1,0.7363512049360709,2025-12-21 23:20:23.363164,2025-12-21 23:21:37.914521,0 days 00:01:14.551357,16,384,0.19151597644581875,1536,0.6297528852220533,4,huber,4.2633894899397915e-05,4,2.8504840901308213e-07,0.7369579076766968,0.19320333003997803,1.3397412300109863,0.6968826296298632,COMPLETE
2,0.6017291696135758,2025-12-21 23:21:37.914808,2025-12-21 23:22:58.283509,0 days 00:01:20.368701,32,128,0.36475836176739307,1536,1.7597469918060904,2,huber,0.001788092828973974,4,3.945083240229022e-09,1.9636025428771973,-1.0375525951385498,2.129086494445801,-0.5339231491063738,COMPLETE
3,0.6632677388448259,2025-12-21 23:22:58.283755,2025-12-21 23:23:55.650326,0 days 00:00:57.366571,16,256,0.28356637725095946,512,,3,mse,0.0009656331362227173,8,0.00046760844297167404,1.6090933084487915,-0.4831644296646118,1.8164920806884766,-0.07337102710386034,COMPLETE
4,0.6279836720670211,2025-12-21 23:23:55.650586,2025-12-21 23:24:33.226420,0 days 00:00:37.575834,64,256,0.21375014951526317,512,,3,mse,0.00011800558154595055,4,0.0005543960122907813,1.126348853111267,0.0249519944190979,1.472827434539795,0.4822563446509432,COMPLETE
5,-0.14556867306429017,2025-12-21 23:24:33.226673,2025-12-21 23:24:36.529892,0 days 00:00:03.303219,64,256,0.1242713337783698,1536,,1,mse,0.0013852248750408948,8,4.1918037146860975e-07,1.5865178108215332,-0.44064950942993164,1.7902679443359375,-0.14556867306429017,PRUNED
6,0.6060794556233198,2025-12-21 23:24:36.530066,2025-12-21 23:25:14.862370,0 days 00:00:38.332304,64,128,0.13108986038316278,512,2.555735590553575,2,huber,0.0003842759110594669,4,0.00014252183604155776,1.097813606262207,0.014087438583374023,1.4810101985931396,0.3967482596353172,COMPLETE
7,0.7128769714694695,2025-12-21 23:25:14.862603,2025-12-21 23:26:24.366444,0 days 00:01:09.503841,32,128,0.3376757948965395,1024,0.6848876672612122,4,huber,1.7660019081435217e-05,4,2.759110173608607e-07,1.2020787000656128,0.010490357875823975,1.4837095737457275,0.6984096777658209,COMPLETE
8,-0.24245690252169433,2025-12-21 23:26:24.366666,2025-12-21 23:26:27.387135,0 days 00:00:03.020469,64,256,0.1776706016722266,1024,,2,mse,1.1680320686771937e-05,4,2.4788430869594297e-09,4.3397088050842285,-8.479247093200684,4.592252731323242,-0.24245690252169433,PRUNED
9,0.6072197837767945,2025-12-21 23:26:27.387295,2025-12-21 23:27:09.469957,0 days 00:00:42.082662,32,256,0.23874942254637432,256,,4,mse,3.033834603123269e-05,8,1.2464162089819812e-09,1.1792978048324585,0.0103224515914917,1.4838353395462036,0.5274034236315553,COMPLETE
10,0.07626316372499187,2025-12-21 23:27:09.470201,2025-12-21 23:27:12.534429,0 days 00:00:03.064228,16,384,0.0038790077936237677,1536,0.5932639972142589,4,huber,6.20402791377448e-05,8,9.3210663850949e-06,1.1552690267562866,-0.0375058650970459,1.519267201423645,0.07626316372499187,PRUNED
11,0.7440360251007918,2025-12-21 23:27:12.534584,2025-12-21 23:29:13.528027,0 days 00:02:00.993443,16,384,0.4553645717949406,1024,0.560766954941506,4,huber,1.0138009874879365e-05,4,2.5834720699567517e-07,1.0454286336898804,0.1846964955329895,1.3467857837677002,0.6743768487689665,COMPLETE
12,0.7480949322673627,2025-12-21 23:29:13.528277,2025-12-21 23:30:52.152535,0 days 00:01:38.624258,16,384,0.48914874683277654,256,0.5163156906721671,4,huber,3.9086006884862714e-05,4,6.985823194002448e-08,1.1969711780548096,0.06423032283782959,1.442857265472412,0.6258220065239125,COMPLETE
13,0.5317730289037107,2025-12-21 23:30:52.152809,2025-12-21 23:30:55.382654,0 days 00:00:03.229845,16,384,0.4949308445438341,256,1.084732974487668,4,huber,1.019970775070752e-05,4,5.456187302699707e-06,1.2904183864593506,-0.507259726524353,1.8311879634857178,0.5317730289037107,PRUNED
14,0.541394754279841,2025-12-21 23:30:55.382818,2025-12-21 23:30:58.928953,0 days 00:00:03.546135,16,384,0.4903534955058723,256,0.507616860606968,3,huber,9.329961484115758e-05,4,6.14914884365293e-08,2.0235435962677,-1.1276741027832031,2.17566180229187,0.541394754279841,PRUNED
15,0.6771929635131999,2025-12-21 23:30:58.929109,2025-12-21 23:31:45.442982,0 days 00:00:46.513873,16,384,0.4137050916227113,256,1.0250662921566398,1,huber,2.569268705284693e-05,4,0.00914418784699653,0.9403318166732788,0.2043929100036621,1.3304182291030884,0.6771929635131999,PRUNED
16,-0.2689521792702548,2025-12-21 23:31:45.443153,2025-12-21 23:31:48.607222,0 days 00:00:03.164069,16,384,0.4284248536442366,1024,4.17175368386912,4,huber,0.00025790009570668176,4,1.8553639052000513e-08,1.72711181640625,-0.6529433727264404,1.917643427848816,-0.2689521792702548,PRUNED
17,0.7378319788860902,2025-12-21 23:31:48.607396,2025-12-21 23:33:41.973653,0 days 00:01:53.366257,16,384,0.4401160803291702,256,1.0152887275351388,3,huber,5.893855560264939e-05,4,3.831803301747454e-06,1.0529184341430664,0.15092438459396362,1.374396562576294,0.5816764331389609,COMPLETE
18,0.5600564724088793,2025-12-21 23:33:41.973911,2025-12-21 23:33:44.994411,0 days 00:00:03.020500,16,384,0.4034190220728916,1024,0.785093147787095,4,huber,2.3425169917413236e-05,8,2.0505820553775156e-08,1.5052790641784668,-0.30374646186828613,1.703081488609314,0.5600564724088793,PRUNED
19,0.5642806445252292,2025-12-21 23:33:44.994574,2025-12-21 23:33:47.978926,0 days 00:00:02.984352,16,384,0.46295619197785803,256,1.476617338545323,3,huber,1.6632404288658838e-05,4,2.2157589448324116e-05,1.4478850364685059,-0.193628191947937,1.6295714378356934,0.5642806445252292,PRUNED
20,0.1979973257321626,2025-12-21 23:33:47.979087,2025-12-21 23:33:51.075969,0 days 00:00:03.096882,32,384,0.3719214672698636,1024,0.5135651280830038,4,huber,0.0001627358139169209,4,1.242144398262266e-10,1.400060772895813,-0.2147376537322998,1.6439177989959717,0.1979973257321626,PRUNED
21,0.49411575744708036,2025-12-21 23:33:51.076130,2025-12-21 23:33:54.131508,0 days 00:00:03.055378,16,384,0.44839342037396646,256,0.8908354305551869,3,huber,5.2509734461585525e-05,4,1.4902902262240056e-06,1.4337269067764282,-0.22958886623382568,1.653936505317688,0.49411575744708036,PRUNED
22,0.5338223142809696,2025-12-21 23:33:54.131670,2025-12-21 23:33:57.176510,0 days 00:00:03.044840,16,384,0.499785715140573,256,1.304852171722034,3,huber,9.2282625533359e-05,4,1.8793215345084918e-06,2.1043906211853027,-1.273935079574585,2.249199151992798,0.5338223142809696,PRUNED
23,-0.23939950095078386,2025-12-21 23:33:57.176671,2025-12-21 23:34:00.678694,0 days 00:00:03.502023,16,384,0.3929238087600231,256,0.8252020517007947,4,huber,4.055673580978811e-05,4,6.528557543564147e-08,1.3778916597366333,-0.2012704610824585,1.6347798109054565,-0.23939950095078386,PRUNED
24,0.7649585677428062,2025-12-21 23:34:00.678856,2025-12-21 23:35:46.589519,0 days 00:01:45.910663,16,384,0.4494454547369203,256,0.6522744545705911,2,huber,5.710060728225345e-05,4,2.724553632160596e-05,0.8384714722633362,0.32359790802001953,1.2267084121704102,0.6944532348681128,COMPLETE
25,0.6819129304788865,2025-12-21 23:35:46.589762,2025-12-21 23:36:33.149637,0 days 00:00:46.559875,16,128,0.32387174772543215,256,0.6917293954713555,2,huber,1.9385321362648242e-05,4,4.428405818237962e-05,1.0769866704940796,0.10093188285827637,1.4142792224884033,0.6819129304788865,PRUNED
26,0.5694600480513012,2025-12-21 23:36:33.149918,2025-12-21 23:36:37.099513,0 days 00:00:03.949595,16,384,0.4615288972426682,1024,0.5183442108880163,1,huber,3.426005999777143e-05,4,6.754023076611513e-08,1.396970272064209,-0.12163829803466797,1.579666018486023,0.5694600480513012,PRUNED
27,0.5598647650671358,2025-12-21 23:36:37.099677,2025-12-21 23:36:40.382596,0 days 00:00:03.282919,16,384,0.36240891290311483,512,2.224517208319962,2,huber,1.2983764957037386e-05,8,7.261731721117782e-07,1.41774582862854,-0.6731350421905518,1.9293203353881836,0.5598647650671358,PRUNED
28,0.7617953966040373,2025-12-21 23:36:40.382766,2025-12-21 23:38:03.226670,0 days 00:01:22.843904,16,384,0.020960932896516737,256,0.6382893858675309,2,huber,7.894540694195062e-05,4,0.007884337412959875,0.7492231130599976,0.32513993978500366,1.2253093719482422,0.6651947281592484,COMPLETE
29,0.559140904587104,2025-12-21 23:38:03.226912,2025-12-21 23:38:06.999579,0 days 00:00:03.772667,32,128,0.012012249212515536,256,,2,mse,0.00019569751894604845,4,0.008444049271540984,0.929861307144165,-0.03695976734161377,1.5188672542572021,0.559140904587104,PRUNED
30,0.677896992199258,2025-12-21 23:38:06.999745,2025-12-21 23:38:38.724286,0 days 00:00:31.724541,64,384,0.0833028885870852,256,0.7022945622248113,1,huber,7.899880263487579e-05,4,0.0018048369034203047,0.9394192695617676,0.13699114322662354,1.3856275081634521,0.677896992199258,PRUNED
31,0.45837555940788577,2025-12-21 23:38:38.724454,2025-12-21 23:38:41.846958,0 days 00:00:03.122504,16,384,0.28379085923221636,256,0.5826447728795451,2,huber,0.00011416923795236233,4,7.27869913480476e-05,1.3256322145462036,-0.12945985794067383,1.585164189338684,0.45837555940788577,PRUNED
32,0.18480918273980282,2025-12-21 23:38:41.847115,2025-12-21 23:38:45.264019,0 days 00:00:03.416904,16,384,0.07667026936270491,1024,0.7761842534904598,2,huber,4.116570898234455e-05,4,5.937047854050074e-10,0.9859423637390137,0.009903550148010254,1.4841493368148804,0.18480918273980282,PRUNED
33,-0.0990598108974995,2025-12-21 23:38:45.264175,2025-12-21 23:38:48.342178,0 days 00:00:03.078003,16,384,0.46733700586049715,256,0.6018656494000519,2,huber,0.0001595835904280023,4,1.203891081804757e-08,1.7075860500335693,-0.6225444078445435,1.899928092956543,-0.0990598108974995,PRUNED
34,0.7368800527753636,2025-12-21 23:38:48.342332,2025-12-21 23:39:48.036645,0 days 00:00:59.694313,16,384,0.2875163935651387,1536,0.9178927806955219,3,huber,6.892149179154843e-05,4,1.8198968174126422e-07,0.7468309998512268,0.24572968482971191,1.2953954935073853,0.7042964152769468,COMPLETE
35,0.06741157301483158,2025-12-21 23:39:48.036881,2025-12-21 23:39:51.206529,0 days 00:00:03.169648,16,384,0.3861601895176696,256,0.5183029386112628,2,huber,0.0004798304806916794,4,0.0002902052003719035,1.701656699180603,-0.6092529296875,1.8921302556991577,0.06741157301483158,PRUNED
36,0.5874871487731886,2025-12-21 23:39:51.206689,2025-12-21 23:39:54.555019,0 days 00:00:03.348330,16,256,0.3473343660335832,512,,1,mse,4.402936200016356e-05,4,0.0030358892942030603,0.9879311919212341,0.19727963209152222,1.3363524675369263,0.5874871487731886,PRUNED
37,-0.39950818429662555,2025-12-21 23:39:54.555179,2025-12-21 23:39:58.015166,0 days 00:00:03.459987,64,384,0.42028444088671074,1536,1.186215565556872,4,huber,0.00032360870227004596,8,1.4207690138478749e-05,1.3667935132980347,-0.19331789016723633,1.6293596029281616,-0.39950818429662555,PRUNED
38,0.5763780388490479,2025-12-21 23:39:58.015335,2025-12-21 23:40:01.572284,0 days 00:00:03.556949,32,128,0.20370994920058397,1024,0.6355698305399383,3,huber,0.00012602161695574407,4,1.486419153657178e-07,1.103035807609558,0.00994783639907837,1.4841161966323853,0.5763780388490479,PRUNED
39,-0.1516735603091244,2025-12-21 23:40:01.572450,2025-12-21 23:40:04.717904,0 days 00:00:03.145454,16,256,0.16211387741273553,512,,2,mse,0.0007791464533379901,4,5.192254323425009e-09,1.266610026359558,-0.11178183555603027,1.5727100372314453,-0.1516735603091244,PRUNED
40,0.2302504333310215,2025-12-21 23:40:04.718068,2025-12-21 23:40:07.982093,0 days 00:00:03.264025,64,384,0.4749706817375798,256,4.439583816443147,1,huber,1.3855897387436057e-05,8,0.0014860013815905751,4.573276996612549,-9.350013732910156,4.798542499542236,0.2302504333310215,PRUNED
41,0.5602680115445964,2025-12-21 23:40:07.982260,2025-12-21 23:40:11.451452,0 days 00:00:03.469192,16,384,0.4398175048027611,256,0.7221194903784017,3,huber,5.488009519795043e-05,4,2.5931016044157234e-06,1.4680979251861572,-0.26156318187713623,1.6753029823303223,0.5602680115445964,PRUNED
42,0.5778819498920363,2025-12-21 23:40:11.451622,2025-12-21 23:40:14.540165,0 days 00:00:03.088543,16,384,0.048161517076124385,256,0.9616216832446823,4,huber,3.3330766759689623e-05,4,6.019360586579998e-07,0.9417529702186584,0.06166088581085205,1.4448367357254028,0.5778819498920363,PRUNED
43,0.5752608477885423,2025-12-21 23:40:14.540327,2025-12-21 23:40:18.032899,0 days 00:00:03.492572,16,384,0.4469789127443956,256,0.6007548662434085,3,huber,2.3677839570191273e-05,4,4.70522178217861e-06,1.728690266609192,-0.5752308368682861,1.8720221519470215,0.5752608477885423,PRUNED
44,0.4402195520251708,2025-12-21 23:40:18.033058,2025-12-21 23:40:21.250410,0 days 00:00:03.217352,16,384,0.23497196655533648,256,1.874729209384478,4,huber,7.161420539073564e-05,4,0.00017671259300286332,1.3342058658599854,-0.1439344882965088,1.5952892303466797,0.4402195520251708,PRUNED
45,0.6916866996088132,2025-12-21 23:40:21.250659,2025-12-21 23:40:59.638904,0 days 00:00:38.388245,16,128,0.4303758782794523,1536,,2,mse,5.193882236244832e-05,4,3.396628267305319e-05,1.2442783117294312,-0.0012701749801635742,1.49250066280365,0.6916866996088132,PRUNED
46,0.49839611964635505,2025-12-21 23:40:59.639134,2025-12-21 23:41:02.837743,0 days 00:00:03.198609,16,256,0.13469586537171735,1024,0.620582567358241,3,huber,0.00010411548741298243,4,7.345015606889322e-06,1.1072744131088257,0.0018083453178405762,1.4902043342590332,0.49839611964635505,PRUNED
47,0.6222952524956299,2025-12-21 23:41:02.837906,2025-12-21 23:41:29.570049,0 days 00:00:26.732143,32,384,0.4787447131636576,256,0.8148403046228966,4,huber,2.7224129610352448e-05,4,0.0008203056472360624,1.5877186059951782,-0.41939258575439453,1.7770111560821533,0.6222952524956299,PRUNED
48,-0.2520514646276998,2025-12-21 23:41:29.570226,2025-12-21 23:41:33.364333,0 days 00:00:03.794107,16,384,0.40733170373964256,256,0.6750633868955231,3,huber,0.00276045240725596,8,3.467845217079913e-07,2.4385080337524414,-2.000502824783325,2.583662986755371,-0.2520514646276998,PRUNED
49,0.4920102819868966,2025-12-21 23:41:33.364506,2025-12-21 23:41:38.090591,0 days 00:00:04.726085,64,384,0.45364399592375604,1024,0.5598884870777334,4,huber,0.00014035040107052528,4,1.0333098378288932e-07,1.1347873210906982,0.004923343658447266,1.487877368927002,0.4920102819868966,PRUNED
50,0.6048036102110264,2025-12-21 23:41:38.090765,2025-12-21 23:42:04.973565,0 days 00:00:26.882800,16,384,0.29952156834837274,512,,2,mse,1.9851590136623617e-05,4,1.0083550238138184e-06,1.1818898916244507,0.05585956573486328,1.449296236038208,0.6048036102110264,PRUNED
51,0.008435123036717342,2025-12-21 23:42:04.973733,2025-12-21 23:42:09.101148,0 days 00:00:04.127415,16,384,0.2638063373441381,1536,0.9206975249696734,3,huber,7.275078042119808e-05,4,2.087432067963666e-07,1.1805791854858398,-0.05183422565460205,1.529721975326538,0.008435123036717342,PRUNED
52,0.2761412045856389,2025-12-21 23:42:09.101322,2025-12-21 23:42:12.787893,0 days 00:00:03.686571,16,384,0.37095144915248995,1536,1.1601829922718176,3,huber,6.391959342980358e-05,4,3.26898363867374e-08,1.3638362884521484,-0.16912603378295898,1.6127592325210571,0.2761412045856389,PRUNED
53,-0.296068852229984,2025-12-21 23:42:12.788062,2025-12-21 23:42:16.332371,0 days 00:00:03.544309,16,384,0.4824222034907322,1536,0.7424032954932944,3,huber,0.00022390545875245328,4,4.769285180479386e-07,1.6372621059417725,-0.5167555809020996,1.8369472026824951,-0.296068852229984,PRUNED
54,-0.16339415054744713,2025-12-21 23:42:16.332541,2025-12-21 23:42:20.570120,0 days 00:00:04.237579,16,384,0.4234426457276268,1536,0.8782793643460679,4,huber,8.457749078636577e-05,4,2.2833782018074555e-07,1.5035396814346313,-0.34390854835510254,1.7291144132614136,-0.16339415054744713,PRUNED
55,0.7429419711332551,2025-12-21 23:42:20.570290,2025-12-21 23:44:13.101993,0 days 00:01:52.531703,16,384,0.4996572485203351,1536,0.5579493015953384,3,huber,4.8157647078412615e-05,4,3.2708597966983183e-06,1.0797144174575806,0.17149513959884644,1.3576455116271973,0.6702584462204753,COMPLETE
56,0.5623404340148243,2025-12-21 23:44:13.102262,2025-12-21 23:44:16.800475,0 days 00:00:03.698213,16,256,0.49203498746554264,256,3.189426051321279,2,huber,5.0070441179342326e-05,4,3.842662743307376e-06,1.3888300657272339,-0.13572430610656738,1.5895541906356812,0.5623404340148243,PRUNED
57,0.7016224283895234,2025-12-21 23:44:16.800652,2025-12-21 23:45:02.861322,0 days 00:00:46.060670,16,384,0.4977119405619137,256,0.5354528042830814,4,huber,1.0183917714347326e-05,4,0.00010084136563088979,1.4522826671600342,-0.1829737424850464,1.6222822666168213,0.7016224283895234,PRUNED
58,0.6247940585362876,2025-12-21 23:45:02.861505,2025-12-21 23:45:18.869396,0 days 00:00:16.007891,32,128,0.46276778201022056,1024,0.6712387591318301,3,huber,3.403426837209452e-05,8,1.445538373368834e-05,1.1448081731796265,0.009441733360290527,1.4844954013824463,0.6247940585362876,PRUNED
59,0.7462109118398828,2025-12-21 23:45:18.869565,2025-12-21 23:47:07.746490,0 days 00:01:48.876925,16,384,0.43859822951498967,256,0.5823773067509943,2,huber,4.043236846298154e-05,4,1.5520927778559478e-06,1.02434504032135,0.18263506889343262,1.3484872579574585,0.673871138022643,COMPLETE
60,0.5689873902949335,2025-12-21 23:47:07.746745,2025-12-21 23:47:11.259668,0 days 00:00:03.512923,16,384,0.3950959282273413,1536,0.5761258611439907,2,huber,1.4703290504124472e-05,4,1.6487852556201187e-06,0.9973117113113403,0.20599615573883057,1.329077124595642,0.5689873902949335,PRUNED
61,0.5799543723622642,2025-12-21 23:47:11.259836,2025-12-21 23:47:14.364959,0 days 00:00:03.105123,16,384,0.4450826087261419,256,0.6413960072679213,2,huber,4.003503587068529e-05,4,1.0035025519405446e-06,1.2852532863616943,-0.040387868881225586,1.5213758945465088,0.5799543723622642,PRUNED
62,0.7437021899022384,2025-12-21 23:47:14.365119,2025-12-21 23:48:43.499355,0 days 00:01:29.134236,16,384,0.43539707822193763,256,0.542509697031245,2,huber,5.755156779606788e-05,4,2.7919732208898195e-06,0.9392171502113342,0.22075241804122925,1.31666898727417,0.666728386893197,COMPLETE
63,0.5689609479029689,2025-12-21 23:48:43.499605,2025-12-21 23:48:46.700249,0 days 00:00:03.200644,16,384,0.47981358051043743,256,0.5009210417841774,2,huber,2.7192542014055366e-05,4,3.787138504240595e-08,1.658452033996582,-0.47026240825653076,1.8085740804672241,0.5689609479029689,PRUNED
64,0.4453692078602828,2025-12-21 23:48:46.700420,2025-12-21 23:48:49.793906,0 days 00:00:03.093486,16,384,0.4195563284094721,256,0.5572717661952196,2,huber,4.5473774504767906e-05,4,8.8947999483925e-06,1.3555713891983032,-0.13312029838562012,1.587730884552002,0.4453692078602828,PRUNED
65,0.6025427856980505,2025-12-21 23:48:49.794065,2025-12-21 23:48:52.979509,0 days 00:00:03.185444,16,384,0.4681758837562509,256,0.5729873877547725,2,huber,0.00010201938432406025,4,2.626623738256904e-06,1.837007761001587,-0.8028897047042847,2.002734899520874,0.6025427856980505,PRUNED
