number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_model,params_dropout,params_ff,params_layers,params_lr,params_nhead,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
0,0.8954545454540455,2025-12-20 12:53:59.265014,2025-12-20 12:57:33.612380,0 days 00:03:34.347366,16,128,0.22396522171537947,1024,1,7.381822798267843e-05,4,8.21075884132746e-06,0.9563088791632668,0.8938053097340135,0.47326868772506714,COMPLETE
1,0.9047619047614056,2025-12-20 12:57:33.612876,2025-12-20 13:00:47.099571,0 days 00:03:13.486695,32,384,0.06565185018949637,1024,2,2.5808279393612552e-05,8,5.7247063742997e-07,0.9569023069505229,0.8883720930227561,0.5532289147377014,COMPLETE
2,0.8946236559134797,2025-12-20 13:00:47.100092,2025-12-20 13:03:53.394799,0 days 00:03:06.294707,32,256,0.35569792196262134,256,1,6.034641551490955e-05,4,0.00035363640296495166,0.9580335286699799,0.8903508771924827,0.404984712600708,COMPLETE
3,0.9151785714280716,2025-12-20 13:03:53.395295,2025-12-20 13:07:14.179383,0 days 00:03:20.784088,16,128,0.2261141773821264,1024,1,0.00031203366933620725,4,1.0704903635260808e-08,0.9524608708552779,0.8938053097340135,0.3821345865726471,COMPLETE
4,0.9058295964120562,2025-12-20 13:07:14.179900,2025-12-20 13:09:35.602635,0 days 00:02:21.422735,16,256,0.037505464750575535,1024,4,5.4131897013368024e-05,8,4.5885694731086816e-08,0.9493917365180624,0.8798185941038084,0.5849838256835938,COMPLETE
5,0.8709677419349839,2025-12-20 13:09:35.603182,2025-12-20 13:10:25.875902,0 days 00:00:50.272720,16,256,0.05995873570019844,1536,2,9.33012650034505e-05,8,0.00028028662501215616,0.9426785846747274,0.8709677419349839,0.6383423209190369,PRUNED
6,0.8464912280696759,2025-12-20 13:10:25.876312,2025-12-20 13:10:34.418745,0 days 00:00:08.542433,16,128,0.47094823223158283,512,2,5.605461108274805e-05,8,7.340048626139143e-08,0.9230212892218678,0.8464912280696759,0.4884556233882904,PRUNED
7,0.8362831858402081,2025-12-20 13:10:34.419479,2025-12-20 13:10:42.201742,0 days 00:00:07.782263,32,256,0.23817582994157926,512,2,5.5810152093769487e-05,4,1.3903142953876805e-05,0.9147503894369854,0.8362831858402081,0.6080284714698792,PRUNED
8,0.7493670886071019,2025-12-20 13:10:42.202127,2025-12-20 13:10:50.179967,0 days 00:00:07.977840,32,128,0.021389028355490836,512,3,0.0022228621695673527,8,9.482687277622506e-05,0.7928380683925523,0.7493670886071019,0.361601859331131,PRUNED
9,0.7982646420819304,2025-12-20 13:10:50.180341,2025-12-20 13:10:58.668683,0 days 00:00:08.488342,64,256,0.11399749203812415,256,3,1.2376406627466034e-05,4,0.0011411138342052138,0.8644202952303243,0.7982646420819304,0.3881848454475403,PRUNED
10,0.8626609442055099,2025-12-20 13:10:58.669004,2025-12-20 13:11:22.843534,0 days 00:00:24.174530,64,384,0.3218550453032607,1536,1,0.0005223076222367024,4,1.1421213509200342e-08,0.9329982938951117,0.8626609442055099,0.5639617443084717,PRUNED
11,0.8648648648643648,2025-12-20 13:11:22.843869,2025-12-20 13:11:48.525919,0 days 00:00:25.682050,16,128,0.151960538379471,1024,4,0.00032540200007597853,8,1.1456921766639087e-08,0.9257658927379275,0.8648648648643648,0.5752312541007996,PRUNED
12,0.9002217294895224,2025-12-20 13:11:48.526315,2025-12-20 13:14:47.830716,0 days 00:02:59.304401,16,256,0.16628551627298813,1024,4,0.0002445371300528154,4,2.612204265824311e-07,0.9522105185075291,0.8904109589036096,0.9410357475280762,COMPLETE
13,0.8106904231620835,2025-12-20 13:14:47.831261,2025-12-20 13:14:56.528496,0 days 00:00:08.697235,16,128,0.33527430358362276,1024,3,0.001154226373027817,8,8.322153766494442e-07,0.8479248572064387,0.8106904231620835,0.7026866674423218,PRUNED
14,0.8603104212855311,2025-12-20 13:14:56.528903,2025-12-20 13:15:13.286416,0 days 00:00:16.757513,16,384,0.47418489629468985,1024,4,0.00014666149179057864,8,5.6791972851275994e-08,0.9273607299161782,0.8603104212855311,0.32290181517601013,PRUNED
15,0.860082304526253,2025-12-20 13:15:13.286792,2025-12-20 13:15:30.000396,0 days 00:00:16.713604,16,256,0.013895308295155628,1024,3,0.0006389552821418225,4,2.207262739278813e-06,0.9250797418589126,0.860082304526253,0.30675214529037476,PRUNED
16,0.7861771058310345,2025-12-20 13:15:30.000816,2025-12-20 13:15:37.909608,0 days 00:00:07.908792,64,128,0.4129466743117733,1024,4,3.2184283133999673e-05,8,0.005958991085329218,0.8759179586084119,0.7861771058310345,0.3584350645542145,PRUNED
17,0.8733624454143477,2025-12-20 13:15:37.909995,2025-12-20 13:16:19.757485,0 days 00:00:41.847490,16,256,0.186357989205835,1536,1,0.000159397346178196,4,9.540228611955383e-08,0.945052295823752,0.8733624454143477,0.6189157962799072,PRUNED
18,0.8291666666661698,2025-12-20 13:16:19.757893,2025-12-20 13:16:28.349990,0 days 00:00:08.592097,16,128,0.28890989512706633,256,3,1.9245281258909232e-05,8,2.9591656064610122e-08,0.9022327720495512,0.8291666666661698,0.3545360267162323,PRUNED
19,0.8358208955218895,2025-12-20 13:16:28.350393,2025-12-20 13:16:36.160108,0 days 00:00:07.809715,64,384,0.09895147990494549,1024,2,0.0003849233319272042,4,5.3307663905293e-06,0.9140456939396188,0.8358208955218895,0.37351110577583313,PRUNED
20,0.8793103448270873,2025-12-20 13:16:36.160481,2025-12-20 13:17:26.013041,0 days 00:00:49.852560,16,128,0.2782206058031043,1024,1,0.0009063180159711277,4,1.5862539879684417e-07,0.944069431051109,0.8793103448270873,0.6788240671157837,PRUNED
21,0.8385650224210247,2025-12-20 13:17:26.013440,2025-12-20 13:17:34.232769,0 days 00:00:08.219329,32,384,0.07943743028742352,1024,2,2.810946639707067e-05,8,6.24210196499936e-07,0.9125621244714784,0.8385650224210247,0.4015195369720459,PRUNED
22,0.8137044967875099,2025-12-20 13:17:34.233151,2025-12-20 13:17:42.297564,0 days 00:00:08.064413,32,384,0.047230732943000654,1024,2,1.0008433268768295e-05,8,3.7248603163127356e-07,0.8904940286328907,0.8137044967875099,0.36308524012565613,PRUNED
23,0.8362831858402081,2025-12-20 13:17:42.297965,2025-12-20 13:17:50.750485,0 days 00:00:08.452520,32,384,0.13006704149270015,1024,1,3.077467929702499e-05,8,2.4491408514191194e-08,0.9081855945404643,0.8362831858402081,0.34109193086624146,PRUNED
24,0.8682505399563044,2025-12-20 13:17:50.750820,2025-12-20 13:18:14.972064,0 days 00:00:24.221244,32,384,0.206207763879732,1024,2,0.00011758238893536804,8,1.5174300615140587e-06,0.9357428974111713,0.8682505399563044,0.7758917808532715,PRUNED
25,0.8308351177725207,2025-12-20 13:18:14.972442,2025-12-20 13:18:22.950869,0 days 00:00:07.978427,32,384,0.0481900458396248,1024,3,1.630464712992212e-05,8,4.080158047787594e-08,0.9008048364364661,0.8308351177725207,0.3508758544921875,PRUNED
26,0.8624999999995031,2025-12-20 13:18:22.951291,2025-12-20 13:19:04.673844,0 days 00:00:41.722553,16,256,0.015006652997348963,512,1,0.00022412770537786142,8,2.1704572242029181e-07,0.9357428974111712,0.8624999999995031,0.48801982402801514,PRUNED
27,0.8458333333328364,2025-12-20 13:19:04.674251,2025-12-20 13:19:12.897156,0 days 00:00:08.222905,16,128,0.12954381083923455,1536,4,4.1369143588089305e-05,8,1.0176423314440698e-08,0.9199614271938285,0.8458333333328364,0.24214321374893188,PRUNED
28,0.7840670859533809,2025-12-20 13:19:12.897575,2025-12-20 13:19:20.896995,0 days 00:00:07.999420,64,256,0.08230399434526733,256,2,2.142165614912006e-05,4,3.319628095546679e-05,0.8700022253542021,0.7840670859533809,0.4272691309452057,PRUNED
29,0.8492569002118161,2025-12-20 13:19:20.897445,2025-12-20 13:19:29.259559,0 days 00:00:08.362114,32,384,0.22376052124987844,1024,1,7.790152208808259e-05,4,1.8942050957096878e-06,0.9252837326607819,0.8492569002118161,0.3388054072856903,PRUNED
30,0.8280254777065083,2025-12-20 13:19:29.259959,2025-12-20 13:19:37.918792,0 days 00:00:08.658833,16,128,0.1695518393507089,1024,1,4.533222603241298e-05,8,1.2500728195427578e-07,0.9073510867146354,0.8280254777065083,0.3215249180793762,PRUNED
31,0.8502202643166809,2025-12-20 13:19:37.919226,2025-12-20 13:19:46.057211,0 days 00:00:08.137985,16,256,0.261574715206077,1024,4,0.00024063108104123738,4,4.5130591556913773e-07,0.9223351383428529,0.8502202643166809,0.64061439037323,PRUNED
32,0.8504672897191266,2025-12-20 13:19:46.057594,2025-12-20 13:19:54.409288,0 days 00:00:08.351694,16,256,0.14643595926506153,1024,4,0.00023792610092691714,4,2.2323162402944684e-07,0.9253950003708923,0.8504672897191266,0.7297911047935486,PRUNED
33,0.9057471264362817,2025-12-20 13:19:54.409695,2025-12-20 13:22:32.235258,0 days 00:02:37.825563,16,256,0.18872191046510128,1024,4,9.006583203268731e-05,4,2.0595039166275297e-08,0.9525628662562124,0.8801742919384985,0.5312030911445618,COMPLETE
34,0.8508771929819565,2025-12-20 13:22:32.235771,2025-12-20 13:22:40.002520,0 days 00:00:07.766749,16,256,0.19528476930895106,1024,4,9.887961985333111e-05,4,2.6871262484638186e-08,0.9212966397151546,0.8508771929819565,0.40499383211135864,PRUNED
35,0.8699360341146403,2025-12-20 13:22:40.002890,2025-12-20 13:23:04.445647,0 days 00:00:24.442757,16,256,0.37446473721234924,256,3,6.820823883910775e-05,4,6.624633739448701e-08,0.9355574512276537,0.8699360341146403,0.5961967706680298,PRUNED
36,0.8410041840999213,2025-12-20 13:23:04.446041,2025-12-20 13:23:12.424327,0 days 00:00:07.978286,32,256,0.07347590292488149,512,2,4.286474735960265e-05,4,2.2453833049161683e-08,0.9114123581336696,0.8410041840999213,0.32577958703041077,PRUNED
37,0.8659340659335664,2025-12-20 13:23:12.424720,2025-12-20 13:23:56.395942,0 days 00:00:43.971222,16,256,0.2347575838449906,1536,4,0.00010154281108858964,8,4.7472050112543095e-06,0.9399339811586678,0.8659340659335664,0.4193570613861084,PRUNED
38,0.8669527896990721,2025-12-20 13:23:56.396344,2025-12-20 13:24:12.802659,0 days 00:00:16.406315,32,128,0.03577341407390333,1024,3,7.547474335458529e-05,4,7.305875824827978e-08,0.9324048661078556,0.8669527896990721,0.24776408076286316,PRUNED
39,0.8729792147801007,2025-12-20 13:24:12.803102,2025-12-20 13:24:56.228845,0 days 00:00:43.425743,16,256,0.10540000708374739,512,2,0.000139154008805538,8,1.7443371368202458e-08,0.9456086343743045,0.8729792147801007,0.7310857772827148,PRUNED
40,0.8261851015796353,2025-12-20 13:24:56.229236,2025-12-20 13:25:04.640305,0 days 00:00:08.411069,64,128,0.2886734851813447,1024,4,5.63318845806132e-05,4,3.569965224113507e-08,0.9072027297678215,0.8261851015796353,0.5275567173957825,PRUNED
41,0.8776371308011901,2025-12-20 13:25:04.640704,2025-12-20 13:25:48.356038,0 days 00:00:43.715334,16,256,0.16972879979044236,1024,4,0.00041382413685618993,4,2.8055544015954966e-07,0.9364290482901863,0.8776371308011901,0.1713455766439438,PRUNED
42,0.8607068607063638,2025-12-20 13:25:48.356507,2025-12-20 13:26:41.514715,0 days 00:00:53.158208,16,256,0.0006829354028677417,1024,4,0.00018688726354870757,4,1.0481623132127895e-06,0.9449966619686966,0.8607068607063638,0.3750537037849426,PRUNED
43,0.8323232323227381,2025-12-20 13:26:41.515090,2025-12-20 13:26:50.377280,0 days 00:00:08.862190,16,256,0.2579350720719957,1024,4,0.00031955805726270673,4,1.0369814944339921e-07,0.9072212743861732,0.8323232323227381,0.3359988331794739,PRUNED
44,0.6731391585755923,2025-12-20 13:26:50.377667,2025-12-20 13:26:58.644194,0 days 00:00:08.266527,16,256,0.15983463022932798,1024,3,0.0012632057017099565,4,1.440382083659608e-08,0.6635171723165939,0.6731391585755923,0.49652722477912903,PRUNED
45,0.8175824175819179,2025-12-20 13:26:58.644768,2025-12-20 13:27:07.284857,0 days 00:00:08.640089,16,256,0.21615356699473756,1024,4,0.0005708905270704097,4,6.47036003118577e-08,0.8830205474371337,0.8175824175819179,0.418020635843277,PRUNED
46,0.9179600886912961,2025-12-20 13:27:07.285236,2025-12-20 13:30:12.820047,0 days 00:03:05.534811,16,384,0.18591584575569453,256,3,0.0001271726814435562,8,2.5794671760122145e-05,0.9639029003783102,0.9046563192899657,0.514498233795166,COMPLETE
47,0.9044289044284048,2025-12-20 13:30:12.820707,2025-12-20 13:32:16.100836,0 days 00:02:03.280129,16,384,0.13265882841169588,256,3,0.00012360345553947568,8,4.0500196662067485e-05,0.9548253096951265,0.8853211009169312,0.9234135150909424,COMPLETE
48,0.8528784648182648,2025-12-20 13:32:16.102116,2025-12-20 13:32:21.973279,0 days 00:00:05.871163,16,384,0.18349467288593582,256,3,2.372259925793621e-05,8,0.0004907944887547883,0.9249128402937467,0.8528784648182648,0.4701979458332062,PRUNED
49,0.8412017167376987,2025-12-20 13:32:21.974254,2025-12-20 13:32:27.368567,0 days 00:00:05.394313,64,384,0.24317174344604614,256,2,8.716251473621915e-05,8,0.00011658293217060589,0.9128588383651064,0.8412017167376987,0.45796680450439453,PRUNED
